# 2017-02-25 17:40:17.479122
# CT_x9
#  path: ../data_final/CT_x9/
#  thresholds: -444.68, 332.0
#  DC-average: 0.9737 (radius = 4)
#  DC-average (opti): 0.9737 (bestRadius: 3.98)
# MR_x9
#  path: ../data_final/MR_x9/
#  thresholds: 690.36, 2078.0
#  DC-average: 0.8779 (radius = 2)
#  DC-average (opti): 0.9016 (bestRadius: 2.1)
#  DC-average (CT-COM): 0.7542
#  DC-average (CT-COM, opti): 0.7656
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  DC_CT  DC_CT_opti  DC_MR  DC_MR_opti  DC_MR_CT-COM  DC_MR_opti_CT-COM  warpDC  warpDC_opti
157     -0.0146     -0.67     0.6701     0.9842     0.9842     0.8963     0.951     0.8     0.8163     0.0695     0.0328
158     -0.0058     -0.6591     0.6591     0.9863     0.9863     0.8963     0.951     0.8     0.8163     0.0684     0.0323
159     -0.001     -0.6713     0.6713     0.9842     0.9842     0.8963     0.951     0.8     0.8163     0.0696     0.0329
160     -0.0005     -0.6784     0.6784     0.9831     0.9831     0.8963     0.951     0.8     0.8163     0.0704     0.0332
161     0.0034     -0.6689     0.6689     0.9842     0.9842     0.8963     0.951     0.8     0.8163     0.0694     0.0327
162     0.0106     -0.6756     0.6757     0.9842     0.9842     0.8963     0.951     0.8     0.8163     0.0701     0.0331
163     0.0064     -0.6862     0.6862     0.9516     0.9516     0.8963     0.951     0.7037     0.7279     0.0712     0.0336
164     0.0119     -0.6887     0.6889     0.9517     0.9517     0.8963     0.951     0.7037     0.7279     0.0714     0.0337
165     0.0123     -0.6843     0.6844     0.9527     0.9527     0.8963     0.951     0.7037     0.7279     0.071     0.0335
166     0.0137     -0.6873     0.6874     0.9517     0.9517     0.8963     0.951     0.7037     0.7279     0.0713     0.0336
167     0.0076     -0.6974     0.6974     0.9527     0.9527     0.8963     0.951     0.7037     0.7279     0.0723     0.0341
168     0.0137     -0.6939     0.694     0.9538     0.9538     0.8996     0.9544     0.6989     0.7235     0.0697     0.0317
169     0.0099     -0.6992     0.6993     0.9537     0.9537     0.8996     0.9544     0.6989     0.7235     0.0702     0.0319
170     0.0085     -0.696     0.6961     0.9517     0.9517     0.903     0.9577     0.7015     0.726     0.0675     0.0294
171     0.0103     -0.6864     0.6865     0.9517     0.9517     0.903     0.9577     0.7015     0.726     0.0666     0.029
172     0.0176     -0.6795     0.6797     0.9521     0.9521     0.9064     0.9541     0.6966     0.7216     0.0636     0.0312
173     -1.0     -1.0     -1.0     -1.0     -1.0     0.903     0.9577     -1.0     -1.0     -1.0     -1.0
