# 2017-01-13 18:03:14.757318
# CT_x100
#  path: ../data_final/CT_x100/
#  thresholds: -457.4, 329.0
#  dc-average: 0.99 (radius = 4)
#  dc-average (opti): 0.99 (bestRadius: 4.0)
# MR_x100
#  path: ../data_final/MR_x100/
#  thresholds: 707.85, 2095.0
#  dc-average: 0.8977 (radius = 2)
#  dc-average (opti): 0.9247 (bestRadius: 2.12)
#  dc-average (CT-COM): 0.783
#  dc-average (CT-COM, opti): 0.7872
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM
152     -0.0017     -0.6534     0.6534     0.9908     0.9908     0.9036     0.9508     0.801     0.806
153     -0.0063     -0.6582     0.6582     0.9911     0.9911     0.9042     0.9502     0.8008     0.8059
154     -0.0094     -0.6811     0.6811     0.9872     0.9872     0.9045     0.9498     0.7721     0.7781
155     -0.0105     -0.669     0.6691     0.9922     0.9922     0.9045     0.9498     0.8004     0.8055
156     -0.008     -0.6747     0.6747     0.9921     0.9921     0.9048     0.9501     0.8     0.8051
157     -0.0157     -0.67     0.6701     0.9914     0.9914     0.9048     0.9501     0.8     0.8051
158     -0.0056     -0.6598     0.6598     0.9906     0.9906     0.9045     0.9498     0.7997     0.8048
159     -0.0013     -0.6715     0.6715     0.9897     0.9897     0.9048     0.9495     0.7993     0.8044
160     -0.0014     -0.6789     0.6789     0.9899     0.9899     0.9048     0.9495     0.7993     0.8044
161     0.0028     -0.6692     0.6692     0.9904     0.9904     0.9051     0.9498     0.7996     0.8047
162     0.0101     -0.676     0.6761     0.9889     0.9889     0.9055     0.9501     0.7999     0.805
163     0.0058     -0.6862     0.6863     0.9886     0.9886     0.9058     0.9504     0.7718     0.7778
164     0.0117     -0.6888     0.6889     0.9887     0.9887     0.9067     0.9507     0.7726     0.7786
165     0.0122     -0.684     0.6841     0.9887     0.9887     0.907     0.951     0.7729     0.7788
166     0.0141     -0.6869     0.687     0.9878     0.9878     0.9076     0.9516     0.7727     0.7787
167     0.0079     -0.697     0.697     0.9892     0.9892     0.908     0.9519     0.7723     0.7783
168     0.0135     -0.6936     0.6937     0.989     0.989     0.9086     0.9519     0.7729     0.7788
169     0.01     -0.6987     0.6988     0.9899     0.9899     0.9089     0.9515     0.7731     0.7784
170     0.0085     -0.6953     0.6954     0.9887     0.9887     0.9086     0.9512     0.7722     0.7775
171     0.0094     -0.6862     0.6863     0.9883     0.9883     0.9089     0.9509     0.7717     0.7771
172     0.0158     -0.6797     0.6799     0.9847     0.9847     0.9088     0.9509     0.7709     0.7763
173     -1.0     -1.0     -1.0     -1.0     -1.0     0.9085     0.9505     -1.0     -1.0
174     -1.0     -1.0     -1.0     -1.0     -1.0     0.9089     0.9509     -1.0     -1.0
175     -1.0     -1.0     -1.0     -1.0     -1.0     0.9083     0.9509     -1.0     -1.0
176     -1.0     -1.0     -1.0     -1.0     -1.0     0.9083     0.9509     -1.0     -1.0
177     -1.0     -1.0     -1.0     -1.0     -1.0     0.908     0.9519     -1.0     -1.0
178     -1.0     -1.0     -1.0     -1.0     -1.0     0.9083     0.9516     -1.0     -1.0
179     -1.0     -1.0     -1.0     -1.0     -1.0     0.908     0.9519     -1.0     -1.0
180     -1.0     -1.0     -1.0     -1.0     -1.0     0.9089     0.9522     -1.0     -1.0
181     -1.0     -1.0     -1.0     -1.0     -1.0     0.9089     0.9522     -1.0     -1.0
182     -1.0     -1.0     -1.0     -1.0     -1.0     0.9095     0.9521     -1.0     -1.0
183     -1.0     -1.0     -1.0     -1.0     -1.0     0.9102     0.9527     -1.0     -1.0
184     -1.0     -1.0     -1.0     -1.0     -1.0     0.9108     0.9534     -1.0     -1.0
185     -1.0     -1.0     -1.0     -1.0     -1.0     0.9117     0.9536     -1.0     -1.0
