# 2017-01-16 22:57:57.881992
# CT_x1
#  path: ../data_final/CT_x1/
#  thresholds: -430.61, 333.0
#  dc-average: 0.861 (radius = 4)
#  dc-average (opti): 0.8671 (bestRadius: 4.04)
# MR_x1
#  path: ../data_final/MR_x1/
#  thresholds: 630.99, 2079.0
#  dc-average: 0.7049 (radius = 2)
#  dc-average (opti): 0.751 (bestRadius: 2.2)
#  dc-average (CT-COM): 0.5954
#  dc-average (CT-COM, opti): 0.6416
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM  warpDC  warpDC_opti
158     0.0393     -0.6595     0.6606     0.8824     0.8909     0.6452     0.7179     0.6452     0.7179     0.2344     0.1863
159     0.0418     -0.6705     0.6718     0.8713     0.8807     0.6452     0.7179     0.6452     0.7179     0.2384     0.1895
160     0.0375     -0.6746     0.6756     0.8713     0.8807     0.6452     0.7179     0.6452     0.7179     0.2397     0.1906
161     0.0426     -0.6673     0.6686     0.8713     0.8807     0.6452     0.7179     0.6452     0.7179     0.2373     0.1886
162     0.0506     -0.6723     0.6742     0.8713     0.8807     0.6452     0.7179     0.6452     0.7179     0.2392     0.1902
163     0.0439     -0.6797     0.6811     0.8317     0.844     0.6875     0.75     0.5     0.55     0.2128     0.1703
164     0.0496     -0.6827     0.6845     0.8317     0.844     0.6875     0.75     0.5     0.55     0.2139     0.1711
165     0.0496     -0.6793     0.6811     0.8317     0.844     0.6875     0.75     0.5     0.55     0.2129     0.1703
166     0.0528     -0.6817     0.6837     0.8317     0.844     0.6875     0.75     0.5     0.55     0.2137     0.1709
167     0.047     -0.689     0.6906     0.8317     0.844     0.6452     0.7179     0.4516     0.5128     0.245     0.1948
168     0.0526     -0.6875     0.6895     0.8317     0.844     0.6452     0.7179     0.4516     0.5128     0.2447     0.1945
169     0.0478     -0.6929     0.6945     0.8317     0.844     0.6452     0.7179     0.4516     0.5128     0.2465     0.1959
170     0.0455     -0.6893     0.6908     0.8317     0.844     0.6452     0.7179     0.4516     0.5128     0.2451     0.1948
171     0.0442     -0.6823     0.6838     0.8317     0.844     0.6452     0.7179     0.4516     0.5128     0.2426     0.1929
172     0.0492     -0.6786     0.6804     0.8235     0.8364     0.6452     0.7179     0.4516     0.5128     0.2414     0.1919
173     -1.0     -1.0     -1.0     -1.0     -1.0     0.6452     0.7179     -1.0     -1.0     -0.3548     -0.2821
174     -1.0     -1.0     -1.0     -1.0     -1.0     0.6452     0.7179     -1.0     -1.0     -0.3548     -0.2821
175     -1.0     -1.0     -1.0     -1.0     -1.0     0.6452     0.7179     -1.0     -1.0     -0.3548     -0.2821
176     -1.0     -1.0     -1.0     -1.0     -1.0     0.6452     0.7179     -1.0     -1.0     -0.3548     -0.2821
177     -1.0     -1.0     -1.0     -1.0     -1.0     0.6452     0.7179     -1.0     -1.0     -0.3548     -0.2821
178     -1.0     -1.0     -1.0     -1.0     -1.0     0.6875     0.75     -1.0     -1.0     -0.3125     -0.25
179     -1.0     -1.0     -1.0     -1.0     -1.0     0.6875     0.75     -1.0     -1.0     -0.3125     -0.25
180     -1.0     -1.0     -1.0     -1.0     -1.0     0.6875     0.75     -1.0     -1.0     -0.3125     -0.25
181     -1.0     -1.0     -1.0     -1.0     -1.0     0.6875     0.75     -1.0     -1.0     -0.3125     -0.25
182     -1.0     -1.0     -1.0     -1.0     -1.0     0.7097     0.7692     -1.0     -1.0     -0.2903     -0.2308
183     -1.0     -1.0     -1.0     -1.0     -1.0     0.6667     0.7368     -1.0     -1.0     -0.3333     -0.2632
184     -1.0     -1.0     -1.0     -1.0     -1.0     0.6667     0.7368     -1.0     -1.0     -0.3333     -0.2632
185     -1.0     -1.0     -1.0     -1.0     -1.0     0.6667     0.7368     -1.0     -1.0     -0.3333     -0.2632
186     -1.0     -1.0     -1.0     -1.0     -1.0     0.6667     0.7368     -1.0     -1.0     -0.3333     -0.2632
187     -1.0     -1.0     -1.0     -1.0     -1.0     0.6667     0.7368     -1.0     -1.0     -0.3333     -0.2632
188     -1.0     -1.0     -1.0     -1.0     -1.0     0.6667     0.7368     -1.0     -1.0     -0.3333     -0.2632
189     -1.0     -1.0     -1.0     -1.0     -1.0     0.6667     0.7368     -1.0     -1.0     -0.3333     -0.2632
190     -1.0     -1.0     -1.0     -1.0     -1.0     0.6667     0.7368     -1.0     -1.0     -0.3333     -0.2632
191     -1.0     -1.0     -1.0     -1.0     -1.0     0.6667     0.7368     -1.0     -1.0     -0.3333     -0.2632
192     -1.0     -1.0     -1.0     -1.0     -1.0     0.6667     0.7368     -1.0     -1.0     -0.3333     -0.2632
193     -1.0     -1.0     -1.0     -1.0     -1.0     0.6897     0.7568     -1.0     -1.0     -0.3103     -0.2432
194     0.064     -0.7011     0.704     0.8431     0.8545     0.7333     0.7895     0.5333     0.5789     0.1877     0.1482
195     0.0628     -0.6952     0.6981     0.8317     0.844     0.7333     0.7895     0.5333     0.5789     0.1862     0.147
196     0.0641     -0.6907     0.6936     0.84     0.8519     0.7333     0.7895     0.5333     0.5789     0.185     0.146
197     0.0673     -0.6806     0.6839     0.84     0.8519     0.7333     0.7895     0.5333     0.5789     0.1824     0.144
198     0.0692     -0.6762     0.6798     0.84     0.8519     0.7333     0.7895     0.5333     0.5789     0.1813     0.1431
199     0.0737     -0.6731     0.6771     0.84     0.8519     0.7333     0.7895     0.5333     0.5789     0.1806     0.1426
200     0.0794     -0.6782     0.6829     0.84     0.8519     0.7333     0.7895     0.5333     0.5789     0.1821     0.1438
201     0.0832     -0.6816     0.6866     0.84     0.8519     0.7333     0.7895     0.5333     0.5789     0.1831     0.1446
202     0.0858     -0.6846     0.6899     0.84     0.8519     0.7333     0.7895     0.5333     0.5789     0.184     0.1452
203     0.0916     -0.6749     0.6811     0.84     0.8519     0.7333     0.7895     0.5333     0.5789     0.1816     0.1434
204     0.0949     -0.6742     0.6808     0.84     0.8519     0.7333     0.7895     0.5333     0.5789     0.1816     0.1433
205     0.0967     -0.6747     0.6816     0.84     0.8519     0.7333     0.7895     0.5333     0.5789     0.1818     0.1435
206     0.0963     -0.6719     0.6788     0.84     0.8519     0.7333     0.7895     0.5333     0.5789     0.181     0.1429
207     0.0907     -0.6751     0.6811     0.84     0.8519     0.6897     0.7568     0.4828     0.5405     0.2114     0.1657
208     0.0941     -0.6731     0.6797     0.84     0.8519     0.6897     0.7568     0.4828     0.5405     0.2109     0.1653
209     0.0934     -0.6669     0.6734     0.84     0.8519     0.6897     0.7568     0.4828     0.5405     0.209     0.1638
210     0.0955     -0.6612     0.668     0.84     0.8519     0.6897     0.7568     0.4828     0.5405     0.2073     0.1625
