# 2017-01-17 14:59:40.310514
# CT_x25
#  path: ../data_final/CT_x25/
#  thresholds: -457.88, 331.0
#  DC-average: 0.9771 (radius = 4)
#  DC-average (opti): 0.9771 (bestRadius: 4.0)
# MR_x25
#  path: ../data_final/MR_x25/
#  thresholds: 705.15, 2087.0
#  DC-average: 0.8943 (radius = 2)
#  DC-average (opti): 0.9145 (bestRadius: 2.16)
#  DC-average (CT-COM): 0.7664
#  DC-average (CT-COM, opti): 0.7715
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  DC_CT  DC_CT_opti  DC_MR  DC_MR_opti  DC_MR_CT-COM  DC_MR_opti_CT-COM  warpDC  warpDC_opti
162     0.0098     -0.6761     0.6761     0.976     0.976     0.8996     0.9397     0.795     0.8005     0.0679     0.0408
163     0.0054     -0.6863     0.6864     0.966     0.966     0.8984     0.941     0.7418     0.75     0.0698     0.0405
164     0.0112     -0.6889     0.689     0.9664     0.9664     0.8984     0.941     0.7418     0.75     0.07     0.0406
165     0.0116     -0.6842     0.6843     0.9653     0.9653     0.8984     0.941     0.7445     0.7526     0.0696     0.0404
166     0.0137     -0.6871     0.6873     0.9653     0.9653     0.8996     0.9422     0.7428     0.751     0.069     0.0397
167     0.0074     -0.6971     0.6972     0.9668     0.9668     0.8996     0.9422     0.7428     0.751     0.07     0.0403
168     0.013     -0.6936     0.6937     0.9684     0.9684     0.8996     0.9422     0.7428     0.751     0.0697     0.0401
169     0.0093     -0.6988     0.6988     0.9676     0.9676     0.8996     0.9422     0.7428     0.751     0.0702     0.0404
170     0.008     -0.6954     0.6954     0.9669     0.9669     0.9021     0.9395     0.7421     0.7503     0.0681     0.0421
171     0.0091     -0.6861     0.6862     0.9682     0.9682     0.9021     0.9395     0.7421     0.7503     0.0672     0.0415
172     0.0157     -0.6796     0.6798     0.9676     0.9676     0.9021     0.9395     0.7421     0.7503     0.0666     0.0411
173     -1.0     -1.0     -1.0     -1.0     -1.0     0.9021     0.9395     -1.0     -1.0     -0.0979     -0.0605
174     -1.0     -1.0     -1.0     -1.0     -1.0     0.9008     0.9409     -1.0     -1.0     -0.0992     -0.0591
175     -1.0     -1.0     -1.0     -1.0     -1.0     0.9008     0.9409     -1.0     -1.0     -0.0992     -0.0591
176     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9397     -1.0     -1.0     -0.1004     -0.0603
177     -1.0     -1.0     -1.0     -1.0     -1.0     0.8984     0.941     -1.0     -1.0     -0.1016     -0.059
178     -1.0     -1.0     -1.0     -1.0     -1.0     0.8984     0.941     -1.0     -1.0     -0.1016     -0.059
179     -1.0     -1.0     -1.0     -1.0     -1.0     0.8984     0.941     -1.0     -1.0     -0.1016     -0.059
180     -1.0     -1.0     -1.0     -1.0     -1.0     0.8984     0.941     -1.0     -1.0     -0.1016     -0.059
181     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9397     -1.0     -1.0     -0.1004     -0.0603
